Affy.ID	HGNC	Ensembl.Gene	Ensembl.Transcript	JH0001.CEL	JH0002.CEL	JH0003.CEL	JH0004.CEL	JH0005.CEL	JH0006.CEL	JH0007.CEL	JH0008.CEL	JH0009.CEL	JH0010.CEL	JH0011.CEL	JH0012.CEL	ID	Reversed_LogFC	Reversed_t	logFC	AveExpr	t	P.Value	adj.P.Val	B
11715100_at	 HIST1H3G	 ENSG00000256018	 ENST00000305910	6.064743608	6.294132426	6.391626295	6.762618217	5.40104584	5.943042812	5.680348499	5.708921269	5.55288075	5.936594666	5.582112409	5.91669257	11715100_at	0.071487384	0.26918243	-0.071487384	5.936229947	-0.26918243	0.791608634	0.935174316	-6.332681099
11715101_s_at	 HIST1H3G	 ENSG00000256018	 ENST00000305910	6.990361978	7.600321111	7.46420159	7.738207992	7.044800789	7.248687452	6.973270722	7.511728453	7.079958963	7.20209383	6.973270722	7.40440593	11715101_s_at	0.201079994	1.319013104	-0.201079994	7.269275794	-1.319013104	0.20775987	0.590196787	-5.518626837
11715102_x_at	 HIST1H3G	 ENSG00000256018	 ENST00000305910	6.713264314	7.132186062	7.072287598	7.340823721	6.422765605	6.864034599	6.212761609	6.863007748	6.241193162	6.838423089	6.539113168	6.947907514	11715102_x_at	0.105698411	0.530563012	-0.105698411	6.765647349	-0.530563012	0.603809729	0.860916775	-6.225467006
11715103_x_at	 TNFAIP8L1	 ENSG00000185361	 ENST00000327473 ENST00000536716	4.230431156	3.543103	3.653241848	4.03679061	3.852059076	3.586568478	4.051348519	4.243308539	3.966761332	4.657112391	3.737128402	3.995677194	11715103_x_at	0.162997491	0.697554008	-0.162997491	3.962794212	-0.697554008	0.49656742	0.806787307	-6.121797012
11715104_s_at	 OTOP2	 ENSG00000183034	 ENST00000580223 ENST00000331427	4.254700157	4.407275939	3.786426156	4.284244195	4.295872839	4.363948484	4.386207918	4.950094284	4.523484716	3.892303503	4.544084275	4.214911633	11715104_s_at	0.261907395	1.194361358	-0.261907395	4.325296175	-1.194361358	0.251643372	0.63459781	-5.664767513
11715105_at	 C17orf78	 ENSG00000167230	 ENST00000586700 ENST00000300618	2.196260864	2.149875205	2.826822402	2.286407993	2.438981601	2.190838698	2.431152949	2.35691177	2.364244059	2.135271032	2.363756605	2.301751551	11715105_at	0.156362126	1.237550591	-0.156362126	2.336856227	-1.237550591	0.235686509	0.619115182	-5.615443851
11715106_x_at	 CTAGE15  CTAGE6	 ENSG00000176227 ENSG00000271079 ENSG00000271321	 ENST00000447022 ENST00000420911 ENST00000470691	3.172915188	3.176024668	3.211744534	3.038829317	3.076414597	3.232997899	3.013206784	2.917316925	3.364808139	3.273343522	3.234192434	3.306853541	11715106_x_at	-0.139788769	-1.112159362	0.139788769	3.168220629	1.112159362	0.284296166	0.663471921	-5.754665793
11715107_s_at	 F8A1 F8A2 F8A3	 ENSG00000197932 ENSG00000198444 ENSG00000185990	 ENST00000369446 ENST00000369505 ENST00000369445	3.923334888	3.992055168	3.801216617	3.652229782	3.79022238	3.897083724	3.616000078	3.816246347	4.156325917	3.840725853	3.754962967	4.007060814	11715107_s_at	-0.084775934	-0.669473901	0.084775934	3.853955378	0.669473901	0.513787071	0.816712118	-6.141088925
11715108_x_at	 LINC01098	 ENSG00000231171	 ENST00000507870	2.486835699	2.372066316	2.800238377	2.941893444	2.345442164	2.839114603	2.431152949	2.113617913	2.585542754	2.573442565	2.556636823	2.342601715	11715108_x_at	-0.128836804	-0.687026902	0.128836804	2.53238211	0.687026902	0.502982846	0.810330058	-6.12911629
11715109_at	 SAMD7	 ENSG00000187033	 ENST00000428432 ENST00000335556 ENST00000487910	2.803592403	2.913160768	2.881347984	2.995045898	2.891776385	2.870351918	2.890604145	3.691233785	2.877208803	3.183831996	2.499436506	2.834981734	11715109_at	0.184638911	0.983815628	-0.184638911	2.944381027	-0.983815628	0.341451356	0.708018932	-5.884161187
